	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	LoA	Semesters	GPA	LoA	Semesters	GPA	LoA	Semesters	GPA
									
elig_2012_3	-0.0143	-0.0530	0.0172						
	(0.0196)	(0.0492)	(0.0429)						
runvar_2012	-0.0210*	-0.0577**	0.0191						
	(0.0108)	(0.0269)	(0.0237)						
TR2012	0.0140	0.0216	-0.00205						
	(0.0193)	(0.0495)	(0.0428)						
gender	0.0318***	0.138***	0.163***	0.175***	0.366***	0.116***	0.00152	-0.000833	0.0786
	(0.00891)	(0.0221)	(0.0194)	(0.0106)	(0.0243)	(0.0272)	(0.0135)	(0.0309)	(0.0592)
academicparents	0.00477	0.00288	0.0144	-0.000335	-0.00722	0.0341	0.00579	0.0168	0.163***
	(0.00945)	(0.0237)	(0.0204)	(0.0116)	(0.0271)	(0.0270)	(0.0120)	(0.0239)	(0.0554)
academic	0.214***	0.415***	-0.203***	0.0805***	0.110***	-0.0771**	-0.0258*	-0.0452	-0.216***
	(0.00979)	(0.0245)	(0.0233)	(0.0136)	(0.0325)	(0.0351)	(0.0140)	(0.0281)	(0.0611)
uni_found	-0.00705	0.0105	-0.0437*	0.0220	0.0319	-0.0465	-0.000673	-0.0150	-0.0493
	(0.0123)	(0.0296)	(0.0242)	(0.0139)	(0.0320)	(0.0309)	(0.0124)	(0.0380)	(0.0624)
seoul	0.135***	0.251***	0.0303	0.147***	0.232***	0.0983***	0.0271	0.0477	-0.0209
	(0.0145)	(0.0366)	(0.0299)	(0.0166)	(0.0370)	(0.0364)	(0.0201)	(0.0640)	(0.0795)
seoul_metro	0.0396***	0.0630*	-0.00168	0.0712***	0.148***	0.0270	0.0117	0.0270	0.0348
	(0.0131)	(0.0324)	(0.0297)	(0.0170)	(0.0393)	(0.0401)	(0.0179)	(0.0420)	(0.0784)
area_matching	0.0302***	0.0575**	-0.0319	0.00549	0.0139	0.00982	0.0150	0.0246	-0.113**
	(0.00912)	(0.0227)	(0.0200)	(0.0116)	(0.0268)	(0.0267)	(0.0119)	(0.0240)	(0.0523)
2.hsarea_clean	0.0346	0.0560	0.0875*	0.0275	0.0353	0.145**	0.000561	0.0542	-0.0694
	(0.0212)	(0.0522)	(0.0464)	(0.0267)	(0.0597)	(0.0595)	(0.0323)	(0.0947)	(0.129)
3.hsarea_clean	0.0656***	0.0699	0.0832*	0.0955***	0.244***	0.0747	-0.00619	0.0358	0.0881
	(0.0232)	(0.0558)	(0.0487)	(0.0291)	(0.0719)	(0.0650)	(0.0329)	(0.125)	(0.135)
